Observations / Discrimination Variables,IÕm usually the first to try new fashions (1: Strongly Disagree),IÕm more fashionable than most other women (1: Strongly Disagree),Other people think IÕm very fashionable (1: Strongly Disagree),Other people ask for my advice about fashion (1: Strongly Disagree),I like reading fashion magazines (1: Strongly Disagree),Usually I do not pay much attention to the clothes IÕm wearing(1: Strongly Disagree),IÕm not very bold when it comes to fashion (1: Strongly Disagree),I attach great importance to buying the most appropriate bra (1: Strongly Disagree),I like to shop for lingerie at exclusive shops (1: Strongly Disagree),I like to shop in the same lingerie stores as my friends (1: Strongly Disagree),Other people as source of information for purchase decision (1: Very uniportant),Magazine or newspaper  as source of information for purchase decision (1: Very uniportant),Catalogues as source of information for purchase decision (1: Very uniportant),Internet as source of information for purchase decision (1: Very uniportant),What is your age? 1: 18-24; 2: 25-39; 3: 40-54; 4: Over 55,"In an average month, how much money do you spend on clothes? 1: 0-$50; 2: $51-$151; 3: $151-$300; 4: $301-$500; 5: more than $501","What was your household annual income in the last year? 1: < 30k; 2: 30-60k, 3: 60-80k; 4: 80-100k; 5: Over 100k",What is your education level? 1: Secondary school; 2: Diploma; 3: Degree; 4: Masters; 5: Doctorate,I am Excitable (1) -- Calm (7),I am Thrifty (1) -- Indulgent (7),I am Contemporary (1) -- Not Contemporary (7),I am Rational (1) -- Emotional (7),I am Youthful (1) -- Mature (7),I am Orthodox (1) -- Libeeral (7),I am Modest (1) -- Vain (7)
188,3,3,3,3,7,2,5,7,2,6,6,2,4,1,1,2,1,1,1,5,2,1,1,5,4
189,3,4,3,4,6,2,6,6,4,5,3,6,5,1,2,3,3,2,5,4,5,3,4,4,4
190,3,4,4,5,6,2,4,5,4,5,5,4,5,1,1,2,2,1,3,4,3,5,6,7,2
191,5,4,5,7,7,2,6,5,5,1,6,6,6,1,2,2,2,1,2,6,1,4,6,7,6
192,5,5,6,6,7,1,3,7,3,2,3,5,5,3,2,4,1,1,3,6,3,4,5,6,6
193,5,5,6,5,7,2,6,7,7,2,2,7,7,1,3,4,5,3,1,7,2,7,7,7,1
194,7,7,7,7,7,7,2,7,7,7,4,7,7,1,2,4,4,3,7,7,2,1,1,7,7
195,4,4,5,7,6,6,4,5,5,4,5,5,5,4,3,3,4,2,6,5,6,3,4,4,5
196,3,4,6,4,5,6,5,6,4,2,1,3,4,1,3,3,1,1,6,4,4,7,5,7,4
197,1,1,1,2,2,2,1,6,6,2,2,5,6,1,3,1,1,1,3,6,6,2,6,6,2
198,3,5,3,5,2,2,3,5,3,3,6,3,3,2,2,2,2,3,5,5,2,5,3,6,5
199,4,4,4,4,5,1,4,7,5,5,5,6,6,2,1,2,2,3,3,4,4,2,2,7,4
200,6,6,6,6,6,2,2,6,2,2,5,2,5,2,1,4,3,3,3,6,3,3,4,6,3
201,4,7,4,4,5,5,4,7,5,4,6,6,5,3,1,2,1,3,5,4,4,3,2,5,4
202,2,4,4,5,5,1,5,5,6,4,3,4,5,2,1,3,1,3,3,6,3,7,5,6,3
203,1,5,4,1,2,1,6,6,3,3,5,2,2,1,3,2,1,1,4,5,3,4,3,6,4
204,3,3,3,5,7,3,5,5,2,4,1,6,6,1,1,2,1,1,2,4,6,5,4,7,7
205,2,3,3,3,5,2,2,6,4,2,6,5,5,2,2,1,4,3,4,5,4,3,3,4,4
206,1,6,6,5,5,5,7,7,1,1,1,1,1,1,4,3,3,1,7,4,4,4,7,4,6
207,4,4,4,3,2,2,4,7,4,4,5,4,4,4,3,3,5,1,4,6,4,4,4,7,4
208,1,2,3,1,3,3,4,6,5,1,1,4,4,4,2,2,3,1,2,6,3,1,6,4,1
209,1,2,2,5,5,3,6,7,6,1,7,3,5,1,1,3,3,3,1,5,4,1,1,7,3
210,7,6,6,6,7,1,2,7,6,4,5,5,5,5,2,1,4,1,3,6,2,4,2,6,5
211,3,5,5,5,4,3,5,6,3,3,5,5,6,2,4,3,4,2,5,5,3,2,4,5,4
212,1,3,5,5,3,2,6,7,2,2,2,3,1,3,2,3,5,2,2,6,2,6,2,5,6
213,3,6,6,7,7,1,2,5,6,1,6,6,6,6,1,5,1,1,2,7,4,7,3,7,7
214,1,4,4,4,4,3,6,6,4,2,4,5,5,5,1,4,2,2,2,2,4,6,5,3,2
215,1,2,4,6,7,2,3,6,5,1,5,1,5,1,1,2,1,1,2,4,2,2,6,4,2
216,6,7,7,6,7,1,3,5,1,1,5,7,7,1,3,3,4,1,3,5,1,7,6,5,3
217,2,3,2,2,2,2,6,6,5,2,6,3,6,3,2,1,2,3,2,2,2,2,6,6,4
218,5,5,5,2,4,1,5,7,4,2,3,2,4,1,1,2,1,3,5,5,4,6,7,3,2
219,4,4,4,5,6,6,5,7,6,4,4,4,6,4,4,1,1,3,5,5,5,4,2,5,5
220,5,6,6,6,5,2,2,6,2,2,6,5,5,6,3,1,5,2,2,5,1,1,3,5,4
221,5,5,5,5,6,5,5,6,4,5,6,5,5,5,3,2,3,2,6,5,4,4,4,6,4
